theta1,theta2,theta3,L1,L2,L3,roll,pitch,yaw
0,0,0,0.05124837953326988,0.05124837953326988,0.05124837953326988,7.56,-0.03,0.92
133,143,62,18.251474735072684,18.775073510670985,14.37997179924686,5.55,-4.00,1.02
129,100,108,18.042035224833366,16.5235987755983,16.942477796076936,-1.03,-2.72,0.26
152,56,56,19.246312408709453,13.617072883547621,13.617072883547621,-0.22,-9.66,0.15
119,111,151,17.518436449235068,17.099557428756427,19.193952531149623,-3.49,-1.01,0.21
43,105,108,11.477693490231381,16.78539816339745,16.942477796076936,0.46,3.77,0.57
193,130,166,21.39306738866248,18.094395102393197,19.979350694547072,-2.11,8.11,0.76
169,132,117,20.136430327226563,18.199114857512857,17.413716694115408,0.84,-5.41,0.67
47,172,68,12.205766788797881,20.293509959906054,14.997923866109716,9.74,2.42,1.43
180,23,149,20.712388980384688,6.946672270512806,19.089232776029963,-16.44,-11.81,-3.03
192,164,169,21.34070751110265,19.874630939427412,20.136430327226563,-1.18,-3.08,0.73
151,27,190,19.193952531149623,7.9679225600762535,21.23598775598299,-16.48,-8.24,-1.92
24,35,120,7.207196026308502,9.840195070521261,17.570796326794895,-8.84,-1.12,-0.21
144,110,62,18.827433388230816,17.047197551196597,14.37997179924686,3.65,-7.54,1.13
84,163,101,15.925247774155828,19.822271061867582,16.57595865315813,5.84,-0.35,1.38
110,36,76,17.047197551196597,10.057903322897012,15.59343906930571,-5.57,-8.29,-0.36
31,129,197,8.932839602563512,18.042035224833366,21.602506898901797,5.24,3.77,1.21
75,91,190,15.53337271280406,16.05235987755983,21.23598775598299,1.75,-1.36,0.92
144,134,25,18.827433388230816,18.303834612632514,7.4642593033726214,15.27,-12.34,3.79
29,30,127,8.457501307691139,8.696960070847283,17.937315469713706,-10.51,0.49,0.04
126,143,134,17.884955592153876,18.775073510670985,18.303834612632514,0.96,-0.12,1.06
104,160,149,16.73303828583762,19.66519142918809,19.089232776029963,1.35,2.51,1.23
20,56,132,6.144548009571466,13.617072883547621,18.199114857512857,-4.99,4.87,0.57
172,13,90,20.293509959906054,4.155840641977967,16.0,-15.08,-16.18,-3.78
109,119,5,16.994837673636766,17.518436449235068,1.69070672919662,22.37,-18.46,6.47
95,49,127,16.26179938779915,12.546720267483146,17.937315469713706,-7.26,-5.10,0.14
119,97,24,17.518436449235068,16.366519142918808,7.207196026308502,12.25,-14.20,3.49
196,49,156,21.550147021341967,12.546720267483146,19.45575191894877,-9.91,-4.70,-0.15
184,93,45,20.92182849062401,16.15707963267949,11.849387132784805,5.00,-10.01,1.75
